level,vineyard_id,row_id,block_count,row_count,row_length_m,canopy_area_m2,canopy_area_ha,interrow_area_m2,interrow_area_ha,plant_count,row_structure
survey,,,54,717,46633.44,14468.20,1.4468,90596.12,9.0596,11889,
block,V01,,,171,11476.85,3307.58,0.3308,19482.48,1.9482,2302,
block,V02,,,4,94.59,45.45,0.0045,226.90,0.0227,11,
block,V03,,,62,4167.58,1570.21,0.1570,9169.31,0.9169,1045,
block,V04,,,3,160.84,80.09,0.0080,245.73,0.0246,13,
block,V05,,,4,236.67,98.46,0.0098,374.33,0.0374,25,
block,V06,,,4,196.40,18.87,0.0019,342.44,0.0342,48,
block,V07,,,3,23.95,6.88,0.0007,32.99,0.0033,7,
block,V08,,,6,168.88,15.59,0.0016,148.53,0.0149,29,
block,V09,,,5,171.06,72.57,0.0073,172.90,0.0173,19,
block,V10,,,4,86.64,38.74,0.0039,172.48,0.0172,10,
block,V11,,,3,148.05,62.41,0.0062,342.82,0.0343,20,
block,V12,,,100,12957.57,3304.16,0.3304,27664.57,2.7665,5074,
block,V13,,,3,57.98,25.09,0.0025,126.21,0.0126,8,
block,V14,,,54,4050.41,1406.31,0.1406,8278.37,0.8278,771,
block,V15,,,3,28.47,7.15,0.0007,38.36,0.0038,8,
block,V16,,,3,39.24,17.75,0.0018,87.82,0.0088,9,
block,V17,,,4,99.22,9.27,0.0009,216.37,0.0216,19,
block,V18,,,5,113.09,11.02,0.0011,207.77,0.0208,13,
block,V19,,,4,166.91,75.86,0.0076,547.82,0.0548,25,
block,V20,,,12,560.16,277.90,0.0278,1335.67,0.1336,62,
block,V21,,,3,63.63,30.38,0.0030,175.82,0.0176,9,
block,V22,,,11,789.51,402.30,0.0402,1580.68,0.1581,87,
block,V23,,,3,125.47,30.04,0.0030,181.84,0.0182,17,
block,V24,,,6,403.68,146.91,0.0147,697.58,0.0698,82,
block,V25,,,3,66.59,29.63,0.0030,93.86,0.0094,13,
block,V26,,,8,271.02,20.66,0.0021,446.70,0.0447,40,
block,V27,,,7,282.57,113.31,0.0113,475.32,0.0475,47,
block,V28,,,9,499.85,211.35,0.0211,837.13,0.0837,88,
block,V29,,,11,315.52,134.72,0.0135,496.02,0.0496,72,
block,V30,,,5,124.71,35.95,0.0036,240.29,0.0240,51,
block,V31,,,5,258.90,103.23,0.0103,421.65,0.0422,46,
block,V32,,,6,166.98,9.04,0.0009,199.54,0.0200,23,
block,V33,,,8,310.70,158.01,0.0158,487.65,0.0488,16,
block,V34,,,3,138.60,38.46,0.0038,283.43,0.0283,41,
block,V35,,,6,150.76,27.54,0.0028,156.43,0.0156,26,
block,V36,,,9,233.01,15.47,0.0015,467.97,0.0468,35,
block,V37,,,3,189.46,65.09,0.0065,285.10,0.0285,41,
block,V38,,,8,257.64,55.77,0.0056,619.61,0.0620,65,
block,V39,,,3,26.37,7.99,0.0008,52.89,0.0053,8,
block,V40,,,5,188.10,58.91,0.0059,298.91,0.0299,50,
block,V41,,,3,192.94,63.78,0.0064,453.38,0.0453,44,
block,V42,,,19,838.80,318.01,0.0318,1798.59,0.1799,182,
block,V43,,,11,616.91,193.63,0.0194,1124.68,0.1125,148,
block,V44,,,6,295.71,99.24,0.0099,475.87,0.0476,69,
block,V45,,,5,63.50,18.02,0.0018,79.88,0.0080,19,
block,V46,,,4,176.72,58.02,0.0058,345.40,0.0345,27,
block,V47,,,22,1121.63,507.75,0.0508,2228.81,0.2229,180,
block,V48,,,15,764.48,163.17,0.0163,1184.77,0.1185,162,
block,V49,,,4,115.27,22.96,0.0023,250.11,0.0250,11,
block,V50,,,4,54.76,2.06,0.0002,106.56,0.0107,8,
block,V51,,,7,432.35,177.77,0.0178,767.58,0.0768,97,
block,V52,,,3,145.76,71.13,0.0071,213.40,0.0213,15,
block,V53,,,3,34.93,11.87,0.0012,59.13,0.0059,9,
block,V54,,,32,1911.99,614.67,0.0615,3795.69,0.3796,543,
row,V01,V01-R001,,,5.67,,,,,1,regular
row,V01,V01-R002,,,13.61,,,,,3,regular
row,V01,V01-R003,,,16.44,,,,,3,regular
row,V01,V01-R004,,,19.26,,,,,3,regular
row,V01,V01-R005,,,25.21,,,,,5,regular
row,V01,V01-R006,,,30.83,,,,,6,regular
row,V01,V01-R007,,,36.27,,,,,6,disrupted
row,V01,V01-R008,,,38.10,,,,,11,regular
row,V01,V01-R009,,,42.80,,,,,14,regular
row,V01,V01-R010,,,48.85,,,,,16,regular
row,V01,V01-R011,,,56.00,,,,,18,regular
row,V01,V01-R012,,,33.82,,,,,15,regular
row,V01,V01-R013,,,27.42,,,,,10,regular
